SNo,Month,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
2231,6,9,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,21,2,23,105,128,0,2816,340,3284,86257
2232,6,9,ITA,12,Lazio,41.89277044,12.48366722,462,47,509,2061,2570,23,4515,766,7851,225930
2233,6,9,ITA,7,Liguria,44.41149315,8.9326992,119,5,124,125,249,8,8076,1509,9834,65073
2234,6,9,ITA,3,Lombardia,45.46679409,9.190347404,2660,96,2756,15541,18297,192,55967,16317,90581,496273
2235,6,9,ITA,11,Marche,43.61675973,13.5188753,32,0,32,960,992,0,4763,992,6747,70335
2236,6,9,ITA,14,Molise,41.55774754,14.65916051,0,2,2,118,120,2,295,23,438,16411
2237,6,9,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,86,95,0,2217,292,2604,34607
2238,6,9,ITA,22,P.A. Trento,46.06893511,11.12123097,6,1,7,74,81,3,3894,464,4439,51934
2239,6,9,ITA,1,Piemonte,45.0732745,7.680687483,599,39,638,3033,3671,21,23258,3961,30890,224293
2240,6,9,ITA,16,Puglia,41.12559576,16.86736689,76,5,81,532,613,0,3373,526,4512,90248
2241,6,9,ITA,20,Sardegna,39.21531192,9.110616306,9,1,10,44,54,-1,1176,131,1361,54707
2242,6,9,ITA,19,Sicilia,38.11569725,13.3623567,39,6,45,808,853,2,2323,278,3454,142495
2243,6,9,ITA,9,Toscana,43.76923077,11.25588885,46,17,63,565,628,1,8440,1077,10145,195695
2244,6,9,ITA,10,Umbria,43.10675841,12.38824698,12,2,14,15,29,3,1330,76,1435,55145
2245,6,9,ITA,2,Valle d'Aosta,45.73750286,7.320149366,7,0,7,1,8,0,1039,144,1191,12436
2246,6,9,ITA,5,Veneto,45.43490485,12.33845213,77,0,77,927,1004,4,16226,1961,19191,358948
2247,6,10,ITA,13,Abruzzo,42.35122196,13.39843823,83,5,88,462,550,0,2263,453,3266,58766
2248,6,10,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,10,11,0,362,27,400,32761
2249,6,10,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,36,54,0,1008,97,1159,76112
2250,6,10,ITA,15,Campania,40.83956555,14.25084984,74,2,76,566,642,1,3764,428,4834,112309
2251,6,10,ITA,8,Emilia-Romagna,44.49436681,11.3417208,228,25,253,1808,2061,24,21717,4192,27970,223413
2252,6,10,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,25,1,26,87,113,2,2832,341,3286,90061
2253,6,10,ITA,12,Lazio,41.89277044,12.48366722,368,47,415,2151,2566,18,4533,770,7869,229513
2254,6,10,ITA,7,Liguria,44.41149315,8.9326992,110,3,113,132,245,20,8096,1513,9854,66009
2255,6,10,ITA,3,Lombardia,45.46679409,9.190347404,2565,98,2663,15194,17857,99,56474,16349,90680,502047
2256,6,10,ITA,11,Marche,43.61675973,13.5188753,29,0,29,918,947,3,4811,992,6750,70837
2257,6,10,ITA,14,Molise,41.55774754,14.65916051,0,2,2,118,120,1,296,23,439,16611
2258,6,10,ITA,21,P.A. Bolzano,46.49933453,11.35662422,7,2,9,85,94,0,2218,292,2604,35148
2259,6,10,ITA,22,P.A. Trento,46.06893511,11.12123097,6,1,7,73,80,0,3895,464,4439,52412
2260,6,10,ITA,1,Piemonte,45.0732745,7.680687483,564,35,599,2773,3372,26,23568,3976,30916,226874
2261,6,10,ITA,16,Puglia,41.12559576,16.86736689,71,4,75,482,557,0,3426,529,4512,91918
2262,6,10,ITA,20,Sardegna,39.21531192,9.110616306,9,1,10,40,50,0,1180,131,1361,55439
2263,6,10,ITA,19,Sicilia,38.11569725,13.3623567,40,6,46,807,853,1,2324,278,3455,144193
2264,6,10,ITA,9,Toscana,43.76923077,11.25588885,40,15,55,484,539,3,8531,1078,10148,198466
2265,6,10,ITA,10,Umbria,43.10675841,12.38824698,13,2,15,13,28,1,1332,76,1436,55763
2266,6,10,ITA,2,Valle d'Aosta,45.73750286,7.320149366,3,0,3,3,6,0,1041,144,1191,12502
2267,6,10,ITA,5,Veneto,45.43490485,12.33845213,66,0,66,899,965,3,16268,1961,19194,362400
2268,6,11,ITA,13,Abruzzo,42.35122196,13.39843823,81,5,86,453,539,1,2275,453,3267,59505
2269,6,11,ITA,17,Basilicata,40.63947052,15.80514834,0,1,1,11,12,1,362,27,401,33167
2270,6,11,ITA,18,Calabria,38.90597598,16.59440194,16,1,17,35,52,2,1012,97,1161,76963
2271,6,11,ITA,15,Campania,40.83956555,14.25084984,74,2,76,534,610,3,3797,430,4837,114073
2272,6,11,ITA,8,Emilia-Romagna,44.49436681,11.3417208,216,18,234,1766,2000,25,21803,4192,27995,227500
2273,6,11,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,22,0,22,90,112,1,2833,342,3287,90508
2274,6,11,ITA,12,Lazio,41.89277044,12.48366722,320,46,366,2151,2517,20,4596,776,7889,233158
2275,6,11,ITA,7,Liguria,44.41149315,8.9326992,107,3,110,140,250,10,8100,1514,9864,66755
2276,6,11,ITA,3,Lombardia,45.46679409,9.190347404,2488,97,2585,14755,17340,252,57218,16374,90932,509853
2277,6,11,ITA,11,Marche,43.61675973,13.5188753,26,0,26,876,902,1,4857,992,6751,71531
2278,6,11,ITA,14,Molise,41.55774754,14.65916051,1,1,2,114,116,0,300,23,439,16916
2279,6,11,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,89,99,2,2215,292,2606,35553
2280,6,11,ITA,22,P.A. Trento,46.06893511,11.12123097,5,1,6,65,71,2,3906,464,4441,52795
2281,6,11,ITA,1,Piemonte,45.0732745,7.680687483,544,33,577,2606,3183,42,23787,3988,30958,229096
2282,6,11,ITA,16,Puglia,41.12559576,16.86736689,65,3,68,399,467,1,3516,530,4513,93130
2283,6,11,ITA,20,Sardegna,39.21531192,9.110616306,10,1,11,32,43,1,1188,131,1362,56226
2284,6,11,ITA,19,Sicilia,38.11569725,13.3623567,37,5,42,807,849,0,2327,279,3455,146290
2285,6,11,ITA,9,Toscana,43.76923077,11.25588885,42,15,57,464,521,10,8558,1079,10158,200500
2286,6,11,ITA,10,Umbria,43.10675841,12.38824698,11,2,13,13,26,0,1334,76,1436,56310
2287,6,11,ITA,2,Valle d'Aosta,45.73750286,7.320149366,6,0,6,0,6,0,1041,144,1191,12606
2288,6,11,ITA,5,Veneto,45.43490485,12.33845213,52,0,52,870,922,5,16313,1964,19199,364110
2289,6,12,ITA,13,Abruzzo,42.35122196,13.39843823,76,4,80,448,528,4,2290,453,3271,60229
2290,6,12,ITA,17,Basilicata,40.63947052,15.80514834,0,1,1,11,12,0,362,27,401,33587
2291,6,12,ITA,18,Calabria,38.90597598,16.59440194,16,1,17,30,47,0,1017,97,1161,78001
2292,6,12,ITA,15,Campania,40.83956555,14.25084984,61,2,63,283,346,-229,3832,430,4608,115842
2293,6,12,ITA,8,Emilia-Romagna,44.49436681,11.3417208,200,17,217,1600,1817,33,22015,4196,28028,231752
2294,6,12,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,18,0,18,90,108,3,2840,342,3290,92278
2295,6,12,ITA,12,Lazio,41.89277044,12.48366722,293,47,340,1882,2222,27,4913,781,7916,237100
2296,6,12,ITA,7,Liguria,44.41149315,8.9326992,103,3,106,143,249,7,8106,1516,9871,67544
2297,6,12,ITA,3,Lombardia,45.46679409,9.190347404,2357,97,2454,14570,17024,272,57775,16405,91204,519095
2298,6,12,ITA,11,Marche,43.61675973,13.5188753,22,0,22,728,750,1,5009,993,6752,72169
2299,6,12,ITA,14,Molise,41.55774754,14.65916051,1,1,2,112,114,0,302,23,439,17279
